,title,artist,showname,date
98,Speeding 72,Momma,The New Afternoon Show,2022-05-18
99,The Same,The Smile,The New Afternoon Show,2022-05-18
100,Speech Bubbles,The Smile,The New Afternoon Show,2022-05-18
101,Tired of Taking It Out On You,Wilco,The New Afternoon Show,2022-05-18
102,How Long,The Black Keys,The New Afternoon Show,2022-05-18
103,Happiness,The Black Keys,The New Afternoon Show,2022-05-18
104,Blackout,Adam Green,The New Afternoon Show,2022-05-18
105,Karaoke,Beach Bunny,The New Afternoon Show,2022-05-18
106,Hold The Line,Bartees Strange,The New Afternoon Show,2022-05-18
107,Born,Sharon Van Etten,The New Afternoon Show,2022-05-18
108,The Bomb,Florence + The Machine,The New Afternoon Show,2022-05-18
109,I Can't Remember,Ryan Adams,The New Afternoon Show,2022-05-18
110,The Modern Western World,Vansire,The New Afternoon Show,2022-05-18
111,Hard Sun,Eddie Vedder,The New Afternoon Show,2022-05-18
112,WE,Arcade Fire,The New Afternoon Show,2022-05-18
113,We Don't Know What Tomorrow Brings,The Smile,The New Afternoon Show,2022-05-18
114,Spring,Rites of Spring,Revolution Summer,2022-05-18
115,Deeper Than Inside,Rites of Spring,Revolution Summer,2022-05-18
116,For Want Of,Rites of Spring,Revolution Summer,2022-05-18
117,Hain's Point,Rites of Spring,Revolution Summer,2022-05-18
118,All There Is,Rites of Spring,Revolution Summer,2022-05-18
119,Drink Deep,Rites of Spring,Revolution Summer,2022-05-18
120,Other Way Around,Rites of Spring,Revolution Summer,2022-05-18
121,Theme,Rites of Spring,Revolution Summer,2022-05-18
122,By Design,Rites of Spring,Revolution Summer,2022-05-18
123,Remainder,Rites of Spring,Revolution Summer,2022-05-18
124,Persistent Vision,Rites of Spring,Revolution Summer,2022-05-18
125,Nudes,Rites of Spring,Revolution Summer,2022-05-18
126,End On End,Rites of Spring,Revolution Summer,2022-05-18
127,All Through A Life,Rites of Spring,Revolution Summer,2022-05-18
128,Hidden Wheel,Rites of Spring,Revolution Summer,2022-05-18
129,In Silence / Words Away,Rites of Spring,Revolution Summer,2022-05-18
130,Patience,Rites of Spring,Revolution Summer,2022-05-18
131,Cut Self Not,Faraquet,Revolution Summer,2022-05-18
132,Carefully Planned,Faraquet,Revolution Summer,2022-05-18
133,The Fourth Introduction,Faraquet,Revolution Summer,2022-05-18
134,Song For Friends To Me,Faraquet,Revolution Summer,2022-05-18
135,Conceptual Separation Of Self,Faraquet,Revolution Summer,2022-05-18
136,Study In Complacency,Faraquet,Revolution Summer,2022-05-18
137,Sea Song,Faraquet,Revolution Summer,2022-05-18
138,The View From This Tower,Faraquet,Revolution Summer,2022-05-18
139,The Missing Piece,Faraquet,Revolution Summer,2022-05-18
140,That Time Of Year,Rain,Revolution Summer,2022-05-18
141,End Of My Mind,Rain,Revolution Summer,2022-05-18
142,Snakeout,Rain,Revolution Summer,2022-05-18
143,Worlds At War,Rain,Revolution Summer,2022-05-18
144,Around The Axis,Rain,Revolution Summer,2022-05-18
145,Rivers,Rain,Revolution Summer,2022-05-18
146,Angelito,Enyel C,Son del Caribe,2022-05-17
147,Polaris,Enyel C,Son del Caribe,2022-05-17
148,All My Friends,LCD Soundsystem,The New Afternoon Show,2022-05-17
149,Talk,Bedlocked,The New Afternoon Show,2022-05-17
150,Rumors,Lindsay Lohan,The New Afternoon Show,2022-05-17
151,She Looks Like You,Sean Nicholas Savage,The New Afternoon Show,2022-05-17
152,Comet,Sean Nicholas Savage,The New Afternoon Show,2022-05-17
153,Snakeskin,Deerhunter,The New Afternoon Show,2022-05-17
154,Dalí en Tecnicolor,Les Grifos,The New Afternoon Show,2022-05-17
155,Viajes,Les Grifos,The New Afternoon Show,2022-05-17
156,Test,Dead Sullivan,The New Afternoon Show,2022-05-17
157,Head,Dead Sullivan,The New Afternoon Show,2022-05-17
158,Optimistic,Radiohead,The New Afternoon Show,2022-05-17
159,Little By Little,Radiohead,The New Afternoon Show,2022-05-17
160,one sick plan,Oso Oso,The New Afternoon Show,2022-05-17
161,reindeer games,Oso Oso,The New Afternoon Show,2022-05-17
162,Levitation,Beach House,The New Afternoon Show,2022-05-17
163,Growth,Dollar Tree,The New Afternoon Show,2022-05-17
164,Didn't Know What I Was In For,Better Oblivion Community Center,The New Afternoon Show,2022-05-17
165,Before,Punchlove,The New Afternoon Show,2022-05-17
166,Casual Discussion In A Dome Between Two Temples,Algernon Cadwallader,The New Afternoon Show,2022-05-17
167,Your Graduation,Modern Baseball,The New Afternoon Show,2022-05-17
168,The Good Times Are Here Again,Kissed By An Animal,The New Afternoon Show,2022-05-17
169,Yeah! New York,Yeah Yeah Yeahs,The New Afternoon Show,2022-05-17
170,Electricityscape,The Strokes,The New Afternoon Show,2022-05-17
171,Twentysomething,Straight White Teeth,The New Afternoon Show,2022-05-17
172,Toe Cutter - Thumb Buster,Thee Oh Sees,The New Afternoon Show,2022-05-17
173,Let Down,Radiohead,The New Afternoon Show,2022-05-17
174,Faust Arp,Radiohead,The New Afternoon Show,2022-05-17
175,Wake Up,Arcade Fire,The New Afternoon Show,2022-05-17
176,Stay Right Here,"Saba, Xavier Omär, Mick Jenkins",The New Afternoon Show,2022-05-17
177,4 da Squaw,Isaiah Rashad,The New Afternoon Show,2022-05-17
178,Nagoya,It Looks Sad.,The New Afternoon Show,2022-05-17
179,Graduation (Friends Forever),Vitamin C,The New Afternoon Show,2022-05-17
180,See You Again,Miley Cyrus,The New Afternoon Show,2022-05-17
181,"New York, I Love You but You're Bringing Me Down",LCD Soundsystem,The New Afternoon Show,2022-05-17
182,The Arc of Life,Post Moves,Content With Fractals,2022-05-17
183,The Mechanical Bull at Our Lady of the Valley,Old Saw,Content With Fractals,2022-05-17
184,Mineral Springs,Danny Paul Grody,Content With Fractals,2022-05-17
185,The Only Part of You That I Ever Really Needed,Ben Bondy,Content With Fractals,2022-05-17
186,Turn To Green,Coral Club,Content With Fractals,2022-05-17
187,Thorns,Marcus Fischer / Simon Scott,Content With Fractals,2022-05-17
188,Big Ben Banjo Band Sing Song,The Boats,Content With Fractals,2022-05-17
189,Its not a folk its a knife,The Boats,Content With Fractals,2022-05-17
190,They Gave Me This To Keep Me Quiet,The Boats,Content With Fractals,2022-05-17
191,Lagoon,H. Takahashi,Content With Fractals,2022-05-17
192,Shallows,H. Takahashi,Content With Fractals,2022-05-17
193,Pink and Gold and Blue,You'll Never Get to Heaven,Content With Fractals,2022-05-17
