Id,Description,Start at,End at,File url,Created at,Updated at,Image,Old,Name,Old url,Comment,Slug,Locked
47405,"These songs are nonlinear because of their syncopated rhythms, but also because of the winding paths these rhythms have traced around the globe: from Africa to the Caribbean and back again, with stops in the US and the UK.
",2022-03-10 23:30:00 -0500,2022-03-11 01:00:00 -0500,https://wnyu-archives.s3.amazonaws.com/archives/2cdef06b2e441cdad8cc396c9a5bfa73.mp3,2022-03-10 22:30:07 -0500,2022-03-11 01:00:03 -0500,"",,Nonlinear,2022-03-10,,2022-03-10-nonlinear,true
47404,"Venice Lockjaw explores contemporary post-punk across the world, divorced from its typical American and British roots. This show examines everything from Swedish jangle pop to Brazillian deathrock to Chinese dance-punk, bringing you only the newest and most cutting-edge underground voices.",2022-03-10 22:30:00 -0500,2022-03-10 23:30:00 -0500,https://wnyu-archives.s3.amazonaws.com/archives/4d10bffb0ea574fc34f7e0806af2ab0c.mp3,2022-03-10 21:30:07 -0500,2022-03-10 23:30:02 -0500,"",,Venice Lockjaw,2022-03-10,,2022-03-10-venice-lockjaw,true
47402,Unwind with classical music from the 20th and 21st centuries featuring diverse and underrepresented composers that you might not have heard of before. We’ll take you through the stories and history behind the music from film scores to contemporary operas.,2022-03-10 19:30:00 -0500,2022-03-10 21:00:00 -0500,https://wnyu-archives.s3.amazonaws.com/archives/84d7658f206bbf007b246b4cd249634d.mp3,2022-03-10 18:30:07 -0500,2022-03-10 21:00:12 -0500,"",,Classy and Sassy,2022-03-10,,2022-03-10-classy-and-sassy,true
47399,"The Sound Between, airing daily from 2 to 4pm, is a show focusing primarily on new releases. Tune in every single day to hear each individual hosts' take on what's going on in the world of independent music. Depending on the day, you'll be hearing a mix of the latest indie rock, imports, rockin new reissues, local heroes, and lots more!",2022-03-10 14:00:00 -0500,2022-03-10 16:00:00 -0500,https://wnyu-archives.s3.amazonaws.com/archives/2ddd5212b9b6dfa31aa2a1dad5841524.mp3,2022-03-10 13:00:07 -0500,2022-03-10 16:00:10 -0500,"",,The Sound Between,2022-03-10,,2022-03-10-the-sound-between,true
47398,"Country Without Cowboys features the music of the women who ruled the country music scene in the 70s. Women like Dolly Parton, Loretta Lynn, and Emmylou Harris were the most listened to and respected artists in the country. Today, non-men get only 10% of air time on country radio. Tune in to celebrate the cowgirls who changed country music!",2022-03-10 12:00:00 -0500,2022-03-10 14:00:00 -0500,https://wnyu-archives.s3.amazonaws.com/archives/03533928b8c81c1716a74d134c05ff29.mp3,2022-03-10 11:00:07 -0500,2022-03-10 14:00:10 -0500,"",,Country Without Cowboys,2022-03-10,,2022-03-10-country-without-cowboys,true
47395,"Your dose of destruction, distortion and dance beats. Sonic Sludge is polluting the airwaves from Thursday 1AM to 3AM. Tune in for the ugliest mix of industrial, post industrial and adjacent genres. From Throbbing Gristle to Swans, Sonic Sludge has music that makes your skin crawl and your body move. The grooviest and grimiest selections from across history, Sonic Sludge is about finding artists that use new technology and genre fusions to create subversive sounds and distorted beats.
",2022-03-10 01:00:00 -0500,2022-03-10 03:00:00 -0500,https://wnyu-archives.s3.amazonaws.com/archives/6420d8286f588fee25b4a2d8c9448a7a.mp3,2022-03-10 00:00:07 -0500,2022-03-10 03:00:08 -0500,"",,Sonic Sludge,2022-03-10,,2022-03-10-sonic-sludge,true
47393,"Monotonic explores new and underground music in the hip-hop and rap genre. Playing everything from electronic-influenced beats to experimental raps. Monotonic focuses on songs that prioritize production and sonics, usually with non-melodic and monotone lyrics.",2022-03-09 22:30:00 -0500,2022-03-09 23:30:00 -0500,https://wnyu-archives.s3.amazonaws.com/archives/9273b6f1f5e2e323622c2f90d96c8763.mp3,2022-03-09 21:30:07 -0500,2022-03-09 23:30:07 -0500,"",,Monotonic,2022-03-09,,2022-03-09-monotonic,true
47392,"Moe Town Records (inspired by the DC slang term “moe” meaning friend,) is about Washington DC’s very own genre— GoGo. Characterized by percussive Bounce Beats, funky bass, and call & response lyricism, GoGo has been deeply ingrained in DC culture since its inception in the 1970s. From tracks by the Godfather of GoGo, Chuck Brown, to popular GoGo inspired DC rapper Wale, my show explores every facet of GoGo and the culture surrounding it. 
",2022-03-09 21:30:00 -0500,2022-03-09 22:30:00 -0500,https://wnyu-archives.s3.amazonaws.com/archives/fe6827b7eddcb7f03e15f1e2d523c656.mp3,2022-03-09 20:30:06 -0500,2022-03-09 22:30:07 -0500,"",,Moe Town Records,2022-03-09,,2022-03-09-moe-town-records,true
47388,"The Sound Between, airing daily from 2 to 4pm, is a show focusing primarily on new releases. Tune in every single day to hear each individual hosts' take on what's going on in the world of independent music. Depending on the day, you'll be hearing a mix of the latest indie rock, imports, rockin new reissues, local heroes, and lots more!",2022-03-09 14:00:00 -0500,2022-03-09 16:00:00 -0500,https://wnyu-archives.s3.amazonaws.com/archives/e0e9f93ef3ab25af9828c227d269ac8d.mp3,2022-03-09 13:00:08 -0500,2022-03-09 16:00:05 -0500,"",,The Sound Between,2022-03-09,,2022-03-09-the-sound-between,true
47385,"The Nordic Invasion brings songs from the Nordic countries to the WNYU waves, seeking to break from preconceptions of the region's music by showcasing the latest in pop, alternative, and experimental releases. Each week the show explores the modern Nordic music scene with songs in English and in the native languages of each country. Tune in to find your newest foreign music obsession, and to maybe learn how to finally pronounce Eyjafjallajökull.",2022-03-09 08:00:00 -0500,2022-03-09 10:00:00 -0500,https://wnyu-archives.s3.amazonaws.com/archives/7e5c5e5073e0ce6d734545b0445f03b5.mp3,2022-03-09 07:00:08 -0500,2022-03-09 10:00:04 -0500,"",,The Nordic Invasion,2022-03-09,,2022-03-09-the-nordic-invasion,true
