,artist,plays
0,MJ Lenderman,7
1,Hotline TNT,5
2,Belle and Sebastian,4
3,Arcade Fire,4
4,VC,3
5,The Jesus and Mary Chain,3
6,Space,3
7,Sharon Van Etten,3
8,Radiohead,3
9,Phoebe Bridgers,3
10,Oasis,3
11,Nick Drake,3
12,Dirty Bird,3
13,Boards of Canada,3
14,Bloc Party,3
15,Aphex Twin,3
16,"piri, Tommy Villiers",2
17,illuminati hotties,2
18,beabadoobee,2
19,Yves Tumor,2
20,Wilco,2
21,Widowspeak,2
22,Wednesday,2
23,We The People,2
24,Wailing Souls,2
25,Vundabar,2
26,Veruca Salt,2
27,Verka Serduchka,2
28,Unwound,2
29,Ty Segall,2
30,Twin Suns,2
31,Tomberlin,2
32,The Sundays,2
33,The Stroppies,2
34,The Stone Roses,2
35,The Magic Magicians,2
36,The Lumineers,2
37,The Cranberries,2
38,The Black Keys,2
39,The Beatles,2
40,The Band,2
41,Stereophonics,2
42,Spiritualized,2
43,Soccer Mommy,2
44,Snoh Aalegra,2
45,Slow Fiction,2
46,Sinking,2
47,Simple Plan,2
48,Saint Etienne,2
49,Quiet Fear,2
50,Primal Scream,2
51,Porridge Radio,2
52,Pavement,2
53,PJ Harvey,2
54,OneRepublic,2
55,Momma,2
56,Moby Grape,2
57,Miles Davis,2
58,Meitei,2
59,Mansun,2
60,Loretta Lynn,2
61,Let's Eat Grandma,2
62,King Gizzard & The Lizard Wizard,2
63,Kenickie,2
64,Kate Wolf,2
65,Joni Mitchell,2
66,John Coltrane,2
67,Jockstrap,2
68,Inspiral Carpets,2
69,Ini Kamoze,2
70,Herbie Hancock,2
71,Hatchie,2
72,Guided By Voices,2
73,Gray Matter,2
74,Grace Jones,2
75,Gorky's Zygotic Mynci,2
76,Gil Scott-Heron,2
77,First Aid Kit,2
78,Emmylou Harris,2
79,Elliott Smith,2
80,Echo & the Bunnymen,2
81,Duval Timothy,2
82,Drop Nineteens,2
83,Demolition Doll Rods,2
84,Dehd,2
85,Dean Blunt,2
86,Bruce Springsteen,2
87,Bob Dylan,2
88,Blur,2
89,Blossoms,2
90,Blonde Otter,2
91,Beach Bunny,2
92,America,2
93,Alex G,2
94,Aldous Harding,2
95,Adult Mom,2
