,title,artist,albums,showname,date
0,Body of Water (What Is Love)-线之间,"Mindy Meng Wang 王萌, Tim Shiel",Body of Water (What Is Love)-线之间,Slugbeat,2022-06-20
1,Et Annet Sted- Axel Boman Remix,"Hubbabubbaklubb, Axel Boman",Drømmen Drømmerne Drømmer Remixed,Slugbeat,2022-06-20
2,Around the Sun,Mr. Fingers,Around the Sun pt.1,Slugbeat,2022-06-20
3,Orbits of Dust,Session Victim,Orbits of Dust,Slugbeat,2022-06-20
4,Step By Step,"Braxe & Falcon, Alan Braxe, Panda Bear, DJ Falcon",Step by Step/Creative Source,Slugbeat,2022-06-20
5,Starshine Blues,Kareem Ali,Starshine Blues,Slugbeat,2022-06-20
6,Ooh Bass,"Theo Parrish, Marcellus Pittman",Ooh Bass,Slugbeat,2022-06-20
7,Wake Up,Young the Giant,Wake Up,The New Afternoon Show,2022-06-20
8,Pool,Have You Ever Seen The Jane Fonda Aerobic VHS?,Maine Coon,The New Afternoon Show,2022-06-20
9,Wake Me Up,Foals,Life Is Yours,The New Afternoon Show,2022-06-20
10,Pledge Drive,Cheekface,Pledge Drive,The New Afternoon Show,2022-06-20
11,Loser,HUNNY,Loser,The New Afternoon Show,2022-06-20
12,Yeah Yeah Yeah,Lit,Tastes Like Gold,The New Afternoon Show,2022-06-20
13,Don't Try,Joyce Manor,40 oz. to Fresno,The New Afternoon Show,2022-06-20
14,"Bryan Ray Trout, 1999",The Zells,Ant Farm,The New Afternoon Show,2022-06-20
15,Get in the Car,Semantics,Paint It Blue,The New Afternoon Show,2022-06-20
16,Lager Door,ME REX,Plesiosaur,The New Afternoon Show,2022-06-20
17,Option 8,Horsegirl,Versions of Modern Performance,The New Afternoon Show,2022-06-20
18,10:36,beabadoobee,10:36,The New Afternoon Show,2022-06-20
19,Happy Happy,Caroline Loveglow,Strawberry,The New Afternoon Show,2022-06-20
20,Kerplunk!,The Wedding Present,Once Bitten,The New Afternoon Show,2022-06-20
21,Mulholland Dr.,Bartees Strange,Farm to Table,The New Afternoon Show,2022-06-20
22,Wretched,Bartees Strange,Farm to Table,The New Afternoon Show,2022-06-20
23,Bury Me In My Shoes,TV Priest,My Other People,The New Afternoon Show,2022-06-20
24,No Real Place,Say Sue Me,The Last Thing Left,The New Afternoon Show,2022-06-20
25,Forget What You Heard,MASSLANDS,Forget What You Heard,The New Afternoon Show,2022-06-20
26,Starman - Top of the Pops Version 2022 Mix,David Bowie,Starman - Top of the Pops Version 2022 Mix,The New Afternoon Show,2022-06-20
27,I Am My Mother,Wilco,Cruel Country,The New Afternoon Show,2022-06-20
28,Wilder Days,Drive-By Truckers,Welcome 2 Club XIII,The New Afternoon Show,2022-06-20
29,Pop Song,Perfume Genius,Ugly Season,The New Afternoon Show,2022-06-20
30,I'm Not Perfect,The March Divide,Lost Causes,The New Afternoon Show,2022-06-20
31,Second Born - Acoustic,Third Eye Blind,Second Born (Acoustic),The New Afternoon Show,2022-06-20
32,Good Morning Glory,Tess Parks,And Those Who Were Seen Dancing,The New Afternoon Show,2022-06-20
33,A Moment of Mystery,FKJ ft. Toro y Moi,V I N C E N T,The New Afternoon Show,2022-06-20
34,All This Talk,Lowswimmer,Glasshouse 1,The New Afternoon Show,2022-06-20
35,Opus - Live from the Queen Elizabeth Hall,"Black Country, New Road",Ants From Up There (Deluxe Edition),The New Afternoon Show,2022-06-20
36,Little Wars,BAMBARA,Love on My Mind,The New Afternoon Show,2022-06-20
37,Detroit (bonus track),Everclear,World of Noise (30th Anniversary Deluxe Edition),The New Afternoon Show,2022-06-20
38,Goodbye Satan,Dion Lunadon,Beyond Everything,The New Afternoon Show,2022-06-20
39,Multiply,Shout Out Louds,House,The New Afternoon Show,2022-06-20
40,Summer Nights,Hazel English,Summer Nights EP,The New Afternoon Show,2022-06-20
41,Pulling Through,Spacey Jane,Pulling Through,The New Afternoon Show,2022-06-20
42,Go Home!,Claud,Go Home!,The New Afternoon Show,2022-06-20
43,Wonderful Life,Two Door Cinema Club,Wonderful Life,The New Afternoon Show,2022-06-20
44,Penny Candle,...And You Will Know Us by the Trail of Dead,Penny Candle / Contra Mundum,The New Afternoon Show,2022-06-20
45,The Deep End,VHS Collection,Night Drive,The New Afternoon Show,2022-06-20
46,vandalize god (blaadee mechatok lorenzosenni),beam boy ;),vandalize god (blaadee mechatok lorenzosenni),Baba Yaga's Cauldron,2022-06-17
