,artist,plays
0,Wilco,2
1,Wednesday,2
2,Third Eye Blind,2
3,TV Priest,2
4,Pixies,2
5,Joyce Manor,2
6,Drive-By Truckers,2
7,Bedlocked,2
8,Beach Bunny,2
