,album,artist,plays
0,Featuring “Birds”,Quasi,3
1,40 oz. to Fresno,Joyce Manor,2
2,Destiny XL,They Are Gutting a Body of Water,2
3,Entropy,Beach Bunny,2
4,Farm to Table,Bartees Strange,2
5,Fevers and Mirrors: A Companion,Bright Eyes ft. Phoebe Bridgers,2
6,Field Studies,Quasi,2
7,Free Now,Drew Citron,2
8,It Won't Last,Pet Fox,2
9,Stratosphere,Duster,2
