,artist,plays
0,The Jesus and Mary Chain,2
1,Space,2
2,Soccer Mommy,2
3,Radiohead,2
4,Nick Drake,2
5,MJ Lenderman,2
6,Hotline TNT,2
7,Belle and Sebastian,2
