,title,artist,albums,showname,date
0,Israelites,Desmond Dekker & The Aces,,Tunnel One,2022-05-03
1,Legalize It,Peter Tosh,,Tunnel One,2022-05-03
2,Jah Give Us Life,Wailing Souls,,Tunnel One,2022-05-03
3,Come Fe Mash It,Tony Tuff,,Tunnel One,2022-05-03
4,Big Ship,Freddie McGregor,,Tunnel One,2022-05-03
5,It Was Written,Damian Marley,,Tunnel One,2022-05-03
6,Dreadlocks Girl/ She Never Love Me So,Sammy Dread & Tappa Zukie,,Tunnel One,2022-05-03
7,Good Life,Cocoa Tea,,Tunnel One,2022-05-03
8,By His Deeds,VC,,Tunnel One,2022-05-03
9,The Harder They Come,Jimmy Cliff,,Tunnel One,2022-05-03
10,I Feel Good,Beres Hammond,,Tunnel One,2022-05-03
11,Funky Kingston,Toots & The Maytals,,Tunnel One,2022-05-03
12,I Don't Like Reggae,Macka B,,Tunnel One,2022-05-03
13,Synthetic Remains,Infinity Frequencies,,999 RETURNS,2022-05-03
14,Gogo Dance,El Alfa El Jefe,,999 RETURNS,2022-05-03
15,ATTRACTION ARIA,DJ 999,,999 RETURNS,2022-05-03
16,The Devil (Tygapaw Remix),LSDXOXO,,999 RETURNS,2022-05-03
17,Affiliated (feat. Lil Durk),Future,,999 RETURNS,2022-05-03
18,KORNELIA,DJ 999,,999 RETURNS,2022-05-03
19,Dealer,Lana del Rey,,999 RETURNS,2022-05-03
20,SURRELIA,DJ 999,,999 RETURNS,2022-05-03
21,EMPEROR-EYES IV (feat. Priya Roy),DJ 999,,999 RETURNS,2022-05-03
22,CRYSTAL TRANCE,DJ 999,,999 RETURNS,2022-05-03
23,Gone MIA,Pooh Shiesty,,999 RETURNS,2022-05-03
24,Birthday Cake,Rihanna,,999 RETURNS,2022-05-03
25,Freedom (Tr One Break the Chains Mix),Glenn Davis,,999 RETURNS,2022-05-03
26,Look At Us,Lolo Zouai,,999 RETURNS,2022-05-03
27,VELVET NITE,DJ 999,,999 RETURNS,2022-05-03
28,ATLien Invader,DJ 999,,999 RETURNS,2022-05-03
29,Another Day,Zillion,,999 RETURNS,2022-05-03
30,PURIFICACIONES,DJ 999,,999 RETURNS,2022-05-03
31,VEILED VESTAL,DJ 999,,999 RETURNS,2022-05-03
32,X2C,DJ 999,,999 RETURNS,2022-05-03
33,MERCEDES,DJ 999,,999 RETURNS,2022-05-03
34,SPACE QUEEN,DJ 999,,999 RETURNS,2022-05-03
35,CRYSTAL CHANDELIER (feat. Maizie Li),DJ 999,,999 RETURNS,2022-05-03
36,Animal Friends,Alex G,,The Sound Between,2022-05-03
37,4times,Wyatt Smith,,The Sound Between,2022-05-03
38,bird,blue smiley,return,The Sound Between,2022-05-03
39,Julio,dba James,"Check ""Yes"" to Connect",The Sound Between,2022-05-03
40,Sloth,"Alex G, Sam Acchione",,The Sound Between,2022-05-03
41,Dragon Boy,Ian Huschle,,The Sound Between,2022-05-03
42,Be Your Own 3am,Adult Mom,Momentary Lapse of Happily,The Sound Between,2022-05-03
43,Trad Future,dba James,"Check ""Yes"" to Connect",The Sound Between,2022-05-03
44,older,Bay Faction,,The Sound Between,2022-05-03
