,album,artist,plays
0,Yesterday's Sunshine,Grapefruit,5
1,A Love Supreme,John Coltrane,4
2,Anatomy of a Murder,Duke Ellington,4
3,Bryter Layter,Nick Drake,4
4,Naked Lunch (The Complete Original Soundtrack Remastered) [Collector's Edition Vol. 6],"Howard Shore, Ornette Coleman",4
5,The Pawnbroker,Quincy Jones,4
6,Blow-Up (Original Motion Picture Soundtrack),Herbie Hancock,3
7,COWBOY BEBOP (Original Motion Picture Soundtrack),SEATBELTS,3
8,"Check ""Yes"" to Connect",dba James,3
9,Rolled Gold,The Action,3
10,Shaft (Deluxe Edition),Isaac Hayes,3
11,Soundtrack From Twin Peaks,Angelo Badalamenti,3
12,Taxi Driver,Bernard Herrmann,3
13,Too Much Noise,We The People,3
14,Boat Songs,MJ Lenderman,2
15,Delaware,Drop Nineteens,2
16,Destiny XL,They Are Gutting a Body of Water,2
17,"Joe Pullum Vol. 2 (1935-1951) with Andy Boy & Walter ""Cowboy"" Washington",Joe Pullum,2
18,Keep Holding On,The Action,2
19,Radiator,Sadurn,2
20,Satisfaction,Narrow Head,2
21,Standing on the Corner,Standing on the Corner,2
22,Sunflower: Deluxe,Briston Maroney,2
23,Two Ribbons,Let's Eat Grandma,2
24,Unholy Affliction,Soccer Mommy,2
