,artist,plays
0,Mitski,4
1,"Black Country, New Road",4
2,Big Thief,4
3,Japanese Breakfast,3
4,Animal Collective,3
5,yeule,2
6,Tonstartssbandht,2
7,Thyla,2
8,The Kooks,2
9,The Jesus and Mary Chain,2
