,album,artist,plays
0,Laurel Hell,Mitski,10
1,Ants From Up There,"Black Country, New Road",8
2,Glitch Princess,yeule,7
3,Time Skiffs,Animal Collective,7
4,Hee-Haw,The Birthday Party,5
5,Junkyard,The Birthday Party,5
6,Nobody But Me,The Human Beinz,5
7,1:2,Cindy,4
8,Don't Follow Me Because I'm Lost Too!!,Vegyn,4
9,Lola Star,Lola Star,4
