Id,Description,Start at,End at,File url,Created at,Updated at,Image,Old,Name,Old url,Comment,Slug,Locked
47625,"Country Without Cowboys features the music of the women who ruled the country music scene in the 70s. Women like Dolly Parton, Loretta Lynn, and Emmylou Harris were the most listened to and respected artists in the country. Today, non-men get only 10% of air time on country radio. Tune in to celebrate the cowgirls who changed country music!",2022-03-31 12:00:00 -0400,2022-03-31 14:00:00 -0400,https://wnyu-archives.s3.amazonaws.com/archives/28f7a23f6d15cb6f952546e0f7126ed6.mp3,2022-03-31 11:00:06 -0400,2022-03-31 14:00:06 -0400,"",,Country Without Cowboys,2022-03-31,,2022-03-31-country-without-cowboys,true
47624,"Disco fever ping-ponged across the Atlantic, creating an effervescent scene in West Africa. Ankara Disco is a musical exploration of 1960s-1980s West African Disco and its related genres - Afrobeat, Highlife, Makossa, Fuji, Funk, and truly so much more. Each week, we’ll learn about the stars and underdogs of the era. Ankara Disco showcases the freshness and the funk of West African Disco, serving as a foundation to understand how West African music got to where it is now. Join us to start your Thursday with some feel-good disco from the continent.",2022-03-31 10:00:00 -0400,2022-03-31 12:00:00 -0400,https://wnyu-archives.s3.amazonaws.com/archives/8bca9a81750fcdedb45d8b4fb9a10848.mp3,2022-03-31 09:00:06 -0400,2022-03-31 12:00:06 -0400,"",,Ankara Disco,2022-03-31,,2022-03-31-ankara-disco,true
47623,"Broadcasting from the crypt of Robert Arthur Moog in the Riverside Cemetery in North Carolina, Malware Mausoleum sends out a weekly dose of the freshest underground electronic music that will pass through your mortal little ears. We’ve got enough glitches, warps, and broken beats to make Grammy disown you. Selections stretch across industrial hip-hop, noise, avant-pop, vaporwave, hyperpop, deconstructed club, and more. XOXO C U In The Tomb.",2022-03-31 08:00:00 -0400,2022-03-31 10:00:00 -0400,https://wnyu-archives.s3.amazonaws.com/archives/2edc187183f9a9d9773370f3d6aaee51.mp3,2022-03-31 07:00:06 -0400,2022-03-31 10:00:05 -0400,"",,Malware Mausoleum,2022-03-31,,2022-03-31-malware-mausoleum,true
47621,"Your dose of destruction, distortion and dance beats. Sonic Sludge is polluting the airwaves from Thursday 1AM to 3AM. Tune in for the ugliest mix of industrial, post industrial, Shoegaze and Post Rock. From Throbbing Gristle to Swans, Sonic Sludge has music that makes your skin crawl and your body move. The grooviest and grimiest selections from across history, Sonic Sludge is about finding artists that use new technology and genre fusions to create subversive sounds and distorted beats.
",2022-03-31 01:00:00 -0400,2022-03-31 03:00:00 -0400,https://wnyu-archives.s3.amazonaws.com/archives/eceedd18be1985abafe01456e3a312ae.mp3,2022-03-31 00:00:07 -0400,2022-03-31 03:00:04 -0400,https://wnyu-uploads.s3.amazonaws.com/uploads/episode/000/047/621/image/9f36b661c7.jpg,,Sonic Sludge,2022-03-31,,2022-03-31-sonic-sludge,true
47619,"Monotonic explores new and underground music in the hip-hop and rap genre. Playing everything from electronic-influenced beats to experimental raps. Monotonic focuses on songs that prioritize production and sonics, usually with non-melodic and monotone lyrics. And sometimes play drum and bass.",2022-03-30 22:30:00 -0400,2022-03-30 23:30:00 -0400,https://wnyu-archives.s3.amazonaws.com/archives/c7ce2ccd5b10790b267a801cb69c34dc.mp3,2022-03-30 21:30:06 -0400,2022-03-30 23:30:03 -0400,https://wnyu-uploads.s3.amazonaws.com/uploads/episode/000/047/619/image/dad1e6ebd1.jpg,,Monotonic,2022-03-30,,2022-03-30-monotonic,true
47618,"Moe Town Records (inspired by the DC slang term “moe” meaning friend,) is about Washington DC’s very own genre— GoGo. Characterized by percussive Bounce Beats, funky bass, and call & response lyricism, GoGo has been deeply ingrained in DC culture since its inception in the 1970s. From tracks by the Godfather of GoGo, Chuck Brown, to popular GoGo inspired DC rapper Wale, my show explores every facet of GoGo and the culture surrounding it. 
",2022-03-30 21:30:00 -0400,2022-03-30 22:30:00 -0400,https://wnyu-archives.s3.amazonaws.com/archives/ef93e0c1c71cbc039baeb2f65fe549e0.mp3,2022-03-30 20:30:06 -0400,2022-03-30 22:30:03 -0400,"",,Moe Town Records,2022-03-30,,2022-03-30-moe-town-records,true
47613,"Listen in as we go back in time to when it all began - from 90s pop to 2000s rock ballads and beyond, we take you through different genres of old school K-pop as it evolves over the years.",2022-03-30 12:00:00 -0400,2022-03-30 14:00:00 -0400,https://wnyu-archives.s3.amazonaws.com/archives/f32cb7c5302b1658cf61ce23f810887b.mp3,2022-03-30 11:00:06 -0400,2022-03-30 14:00:11 -0400,"",,It's K-OLD Out Here,2022-03-30,,2022-03-30-it-s-k-old-out-here,true
47612,"In the early '90s, women artists combined music with politics, retaliating against the male-dominated punk scene. This movement, coined 'Riot Grrrl', changed punk rock, which had been largely deprived of non-men, by providing them with an outlet to voice their anger against the status quo. While some artists, such as Bikini Kill and Hole, have stood the test of time, there are many artists that have fallen under the punk rock radar. This show will discuss the history and music of the '90s Riot Grrrls.",2022-03-30 11:00:00 -0400,2022-03-30 12:00:00 -0400,https://wnyu-archives.s3.amazonaws.com/archives/52e295f2452b652afd51c6b3c5124b30.mp3,2022-03-30 10:00:07 -0400,2022-03-30 12:00:10 -0400,"",,Female Hysteria,2022-03-30,,2022-03-30-female-hysteria,true
47607,"
Tunnel One Radio features strictly the best in foundation and roots Jamaican music, spanning the late 1950s through the early 1990s. From Jamaican jazz, rhythm and blues, and folk musics, through ska, rocksteady, roots reggae, and early dancehall, Tunnel One intends to educate, stimulate, and motivate, via the world's most powerful revolutionary music. Tunnel One is hosted by veteran trumpeter, engineer, selector, producer, composer, arranger, and sound system operator Mush1, of projects currently including Top Shotta Band featuring Screechy Dan, Al Paragus International Sound System and Studios, Birth of the Cool Sextet, and Hungry March Band, as well as formerly of seminal ska and hardcore acts The Slackers and Murphy's Law. Tunnel One specializes in rare, ""1-away"" Jamaican music (music only released on the original 7"", 10"", or 12"" single, and never on LP or CD), and also features the best in live guest selectors and foundation artist live rub-a-dub performances.


Tunnel One can be heard every Tuesday evening from 10:30pm-11:30pm on 89.1 FM WNYU !",2022-03-29 22:30:00 -0400,2022-03-29 23:30:00 -0400,https://wnyu-archives.s3.amazonaws.com/archives/93abf10c436d3d3815bcb7a279aaad7a.mp3,2022-03-29 21:30:06 -0400,2022-03-29 23:30:07 -0400,"",,Tunnel One,2022-03-29,,2022-03-29-tunnel-one,true
47606,"Son Del Caribe is WNYU's Hispanic-Caribbean music program. You'll hear music from the Caribbean's past, present, and future. From the Son, to Guarachas, to Reggeaton. ",2022-03-29 21:00:00 -0400,2022-03-29 22:30:00 -0400,https://wnyu-archives.s3.amazonaws.com/archives/434bd75856fc2cd566bbe3a38998ce91.mp3,2022-03-29 20:00:06 -0400,2022-03-29 22:30:07 -0400,"",,Son del Caribe,2022-03-29,,2022-03-29-son-del-caribe,true
47605,"Like they never left,  ""999 RETURNS"" lives again, introducing listeners to a barrage of hypnotic, pulsating deep house while experimenting with its synergistic relationship to the dramatic, vicious sound of modern trap. Welcome back to the most obscure hour and half of dancing on the web.
",2022-03-29 19:30:00 -0400,2022-03-29 21:00:00 -0400,https://wnyu-archives.s3.amazonaws.com/archives/4057bfa5d33e1658efa834379a8e820a.mp3,2022-03-29 18:30:06 -0400,2022-03-31 13:48:22 -0400,https://wnyu-uploads.s3.amazonaws.com/uploads/episode/000/047/605/image/a249fac482.png,,999 RETURNS,2022-03-29,,2022-03-29-999-returns,true
47603,"An eclectic mix of rock and related music. Still the only place in and around New York to hear the newest independent and imported sounds without chatter and filler. Three hours a day of pure, unadulterated, adventurous New Sounds. Each DJ adds their own perspective to give the show some nice daily variation. Plus ticket giveaways, interviews, guest DJ's and live in-studio performances by today's underground stars. ",2022-03-29 16:00:00 -0400,2022-03-29 19:00:00 -0400,https://wnyu-archives.s3.amazonaws.com/archives/e6ba0cfe8a508e0b0e93922dacd0dc98.mp3,2022-03-29 15:00:06 -0400,2022-03-29 19:00:06 -0400,"",,The New Afternoon Show,2022-03-29,,2022-03-29-the-new-afternoon-show,true
47602,"The Sound Between, airing daily from 2 to 4pm, is a show focusing primarily on new releases. Tune in every single day to hear each individual hosts' take on what's going on in the world of independent music. Depending on the day, you'll be hearing a mix of the latest indie rock, imports, rockin new reissues, local heroes, and lots more!",2022-03-29 14:00:00 -0400,2022-03-29 16:00:00 -0400,https://wnyu-archives.s3.amazonaws.com/archives/be192eb07bb8e37f1a712e383c547b32.mp3,2022-03-29 13:00:05 -0400,2022-03-29 16:00:06 -0400,"",,The Sound Between,2022-03-29,,2022-03-29-the-sound-between,true
47601,"Content With Fractals is a deep-dive into the intricacies and breadth of Japanese ambient and environmental, ranging from its origins in the later 20th-century to its various contemporary iterations. This show examines music stylized as antithetical to traditional pop music schematics and prioritizes aspects of audition often overlooked by the pop music machine — silence, absence, and transience. ",2022-03-29 12:00:00 -0400,2022-03-29 14:00:00 -0400,https://wnyu-archives.s3.amazonaws.com/archives/988cf92c616619fc3603627cc7c78b52.mp3,2022-03-29 11:00:05 -0400,2022-03-29 14:00:05 -0400,"",,Content With Fractals,2022-03-29,,2022-03-29-content-with-fractals,true
47598,"Hello friends! Today we started with some more ""classic"" tracks from the noise-rock depths of the American Nightmare, starting with the Jesus Lizard and The Ex before swooping into Chokebore from Amphetamine Reptile, which set up the crux of the show: the deep dive into Italy's anarchist hardcore, noise rock scene with labels Blu Bus and Nautilus. Nautilus and Blu Bus were Italian noise-rock and punk labels centered around the anarchist, countercultural scenes primarily in Turin Italy. We primarily Highlight the groups Contrazione and CCC CNC CCC but hope to return for more from these labels later on! However, to give a bit of a palate cleanser after the two Italian labels we head over to New Zealand to hear a few early releases from Flying Nun Records, who put out a few records from American Nightmare royalty, The Gordons, and then back to a few more classics before rounding out the show. I'm proud of my deep-diving on this episode as most of these releases were only found through chance by digging through Discogs and are not covered on any blogs or forums. Enjoy!",2022-03-29 08:00:00 -0400,2022-03-29 10:00:00 -0400,https://wnyu-archives.s3.amazonaws.com/archives/4df865d9a1cf77696f8aa3ae86440209.mp3,2022-03-29 07:00:06 -0400,2022-03-29 10:00:04 -0400,"",,The American Nightmare,2022-03-29,,2022-03-29-the-american-nightmare,true
47597,"WNYU's home for the old, the new, and nothing in between. Medieval, Renaissance, Baroque, Modern. Before and after tonality. Two ends of a spectrum, with more in common than one might think. Bach and before, Ives and after.",2022-03-29 06:00:00 -0400,2022-03-29 08:00:00 -0400,https://wnyu-archives.s3.amazonaws.com/archives/194d71d72fb388b685a081f19d48f15c.mp3,2022-03-29 05:00:06 -0400,2022-03-29 08:00:04 -0400,"",,Horseshoe Theory,2022-03-29,,2022-03-29-horseshoe-theory,true
47596,"Named after Virginia band pageninetynine, pageeightynine is a show dedicated to screamo and its fraternal genres. With an emphasis on bands not of American origin, we will be exploring everything that makes screamo one of the most internationally fluid styles of music ever. Weekly picks both classic and fresh, featuring artists from the fringes of every continent who smash together the ugly and the beautiful, only counting the casualties afterwards.
",2022-03-29 01:00:00 -0400,2022-03-29 03:00:00 -0400,https://wnyu-archives.s3.amazonaws.com/archives/ca6999e95ba7b4d502c61646dedbc552.mp3,2022-03-29 00:00:06 -0400,2022-03-29 03:00:03 -0400,"",,pageeightynine,2022-03-29,,2022-03-29-pageeightynine,true
47594,"A dive into the disco inspired pop music that defined 1980’s Japan: Citypop. Ranging from jazz fusion grooves to retro synth bangers, tune in for the biggest nostalgia trip from a time you never knew.",2022-03-28 22:30:00 -0400,2022-03-28 23:30:00 -0400,https://wnyu-archives.s3.amazonaws.com/archives/97392116be8bae07fef0db6270ac5155.mp3,2022-03-28 21:30:06 -0400,2022-03-28 23:30:02 -0400,"",,Night City Life,2022-03-28,,2022-03-28-night-city-life,true
47592,"A new wave of dance music bridges the past and the present, body and brain, headphones and dancefloor. London jazz is branching into underground club culture. Berlin techno slowly matures into an organized religion. In Toronto and Montreal, washed-out acid house looks back to the 1990s for nostalgic inspiration. In slugbeat, jazz is the new rave – and vice versa.",2022-03-28 19:45:00 -0400,2022-03-28 21:00:00 -0400,https://wnyu-archives.s3.amazonaws.com/archives/46e8bc72c398cf7924f08f95ad440f29.mp3,2022-03-28 18:45:06 -0400,2022-03-28 21:00:11 -0400,"",,Slugbeat,2022-03-28,,2022-03-28-slugbeat,true
