,title,artist,albums,showname,date
82,Wasting Time,Brent Faiyaz (Feat. Drake & The Neptunes),Wasting Time,Moe Town Records,2022-05-18
83,2much!,"Lil Burnt Ketchup, yxngchris",2much!,Moe Town Records,2022-05-18
84,Roman Candles,Death Cab For Cutie,Roman Candles,The New Afternoon Show,2022-05-18
85,The Foundations of Decay,My Chemical Romance,The Foundations of Decay,The New Afternoon Show,2022-05-18
86,The Start of Something,Voxtrot,Early Music,The New Afternoon Show,2022-05-18
87,Loner,Day Wave,Loner,The New Afternoon Show,2022-05-18
88,Million Pictures of You,Simple Plan,Harder Than It Looks,The New Afternoon Show,2022-05-18
89,Fake It,State Champs,Kings of the New Age,The New Afternoon Show,2022-05-18
90,Blinks,Flight Mode,"Torshov, '05",The New Afternoon Show,2022-05-18
91,Bike Scene - Demo,Taking Back Sunday,Bike Scene (Demo),The New Afternoon Show,2022-05-18
92,Fables,Interpol,Fables,The New Afternoon Show,2022-05-18
93,Bone Blossom Green,The Mary Veils,Esoteric Hex,The New Afternoon Show,2022-05-18
94,Love Is a Mutt From Hell (2020),Wheatus,Love Is a Mutt From Hell 2020 / Mullet,The New Afternoon Show,2022-05-18
95,Working Boy in New York City,Belle and Sebastian,A Bit of Previous,The New Afternoon Show,2022-05-18
96,Bounce Off The Bottom,Rolling Blackouts Coastal Fever,Endless Rooms,The New Afternoon Show,2022-05-18
97,A Random Act of Kindness,Kevin Morby,This Is A Photograph,The New Afternoon Show,2022-05-18
98,Speeding 72,Momma,Speeding 72,The New Afternoon Show,2022-05-18
99,The Same,The Smile,A Light For Attracting Attention,The New Afternoon Show,2022-05-18
100,Speech Bubbles,The Smile,A Light For Attracting Attention,The New Afternoon Show,2022-05-18
101,Tired of Taking It Out On You,Wilco,Tired of Taking It Out On You,The New Afternoon Show,2022-05-18
102,How Long,The Black Keys,Dropout Boogie,The New Afternoon Show,2022-05-18
103,Happiness,The Black Keys,Dropout Boogie,The New Afternoon Show,2022-05-18
104,Blackout,Adam Green,That Fucking Feeling,The New Afternoon Show,2022-05-18
105,Karaoke,Beach Bunny,Karaoke,The New Afternoon Show,2022-05-18
106,Hold The Line,Bartees Strange,Hold The Line,The New Afternoon Show,2022-05-18
107,Born,Sharon Van Etten,We've Been Going About This All Wrong,The New Afternoon Show,2022-05-18
108,The Bomb,Florence + The Machine,Dance Fever,The New Afternoon Show,2022-05-18
109,I Can't Remember,Ryan Adams,Romeo & Juliet,The New Afternoon Show,2022-05-18
110,The Modern Western World,Vansire,The Modern Western World,The New Afternoon Show,2022-05-18
111,Hard Sun,Eddie Vedder,Earthling Expansion: The Rock Cuts,The New Afternoon Show,2022-05-18
112,WE,Arcade Fire,WE,The New Afternoon Show,2022-05-18
113,We Don't Know What Tomorrow Brings,The Smile,A Light For Attracting Attention,The New Afternoon Show,2022-05-18
114,Spring,Rites of Spring,Rites of Spring,Revolution Summer,2022-05-18
115,Deeper Than Inside,Rites of Spring,Rites of Spring,Revolution Summer,2022-05-18
116,For Want Of,Rites of Spring,Rites of Spring,Revolution Summer,2022-05-18
117,Hain's Point,Rites of Spring,Rites of Spring,Revolution Summer,2022-05-18
118,All There Is,Rites of Spring,Rites of Spring,Revolution Summer,2022-05-18
119,Drink Deep,Rites of Spring,Rites of Spring,Revolution Summer,2022-05-18
120,Other Way Around,Rites of Spring,Rites of Spring,Revolution Summer,2022-05-18
121,Theme,Rites of Spring,Rites of Spring,Revolution Summer,2022-05-18
122,By Design,Rites of Spring,Rites of Spring,Revolution Summer,2022-05-18
123,Remainder,Rites of Spring,Rites of Spring,Revolution Summer,2022-05-18
124,Persistent Vision,Rites of Spring,Rites of Spring,Revolution Summer,2022-05-18
125,Nudes,Rites of Spring,Rites of Spring,Revolution Summer,2022-05-18
126,End On End,Rites of Spring,Rites of Spring,Revolution Summer,2022-05-18
127,All Through A Life,Rites of Spring,Rites of Spring,Revolution Summer,2022-05-18
128,Hidden Wheel,Rites of Spring,Rites of Spring,Revolution Summer,2022-05-18
129,In Silence / Words Away,Rites of Spring,Rites of Spring,Revolution Summer,2022-05-18
130,Patience,Rites of Spring,Rites of Spring,Revolution Summer,2022-05-18
131,Cut Self Not,Faraquet,The View From This Tower,Revolution Summer,2022-05-18
132,Carefully Planned,Faraquet,The View From This Tower,Revolution Summer,2022-05-18
133,The Fourth Introduction,Faraquet,The View From This Tower,Revolution Summer,2022-05-18
134,Song For Friends To Me,Faraquet,The View From This Tower,Revolution Summer,2022-05-18
135,Conceptual Separation Of Self,Faraquet,The View From This Tower,Revolution Summer,2022-05-18
136,Study In Complacency,Faraquet,The View From This Tower,Revolution Summer,2022-05-18
137,Sea Song,Faraquet,The View From This Tower,Revolution Summer,2022-05-18
138,The View From This Tower,Faraquet,The View From This Tower,Revolution Summer,2022-05-18
139,The Missing Piece,Faraquet,The View From This Tower,Revolution Summer,2022-05-18
140,That Time Of Year,Rain,La Vache Qui Rit,Revolution Summer,2022-05-18
141,End Of My Mind,Rain,La Vache Qui Rit,Revolution Summer,2022-05-18
142,Snakeout,Rain,La Vache Qui Rit,Revolution Summer,2022-05-18
143,Worlds At War,Rain,La Vache Qui Rit,Revolution Summer,2022-05-18
144,Around The Axis,Rain,La Vache Qui Rit,Revolution Summer,2022-05-18
145,Rivers,Rain,La Vache Qui Rit,Revolution Summer,2022-05-18
146,Angelito,Enyel C,Angelito,Son del Caribe,2022-05-17
147,Polaris,Enyel C,Angelito,Son del Caribe,2022-05-17
148,All My Friends,LCD Soundsystem,Sound of Silver,The New Afternoon Show,2022-05-17
149,Talk,Bedlocked,Talk,The New Afternoon Show,2022-05-17
150,Rumors,Lindsay Lohan,Speak,The New Afternoon Show,2022-05-17
151,She Looks Like You,Sean Nicholas Savage,Other Life,The New Afternoon Show,2022-05-17
152,Comet,Sean Nicholas Savage,Comet,The New Afternoon Show,2022-05-17
153,Snakeskin,Deerhunter,Fading Frontier,The New Afternoon Show,2022-05-17
154,Dalí en Tecnicolor,Les Grifos,Grifos I,The New Afternoon Show,2022-05-17
155,Viajes,Les Grifos,Grifos I,The New Afternoon Show,2022-05-17
156,Test,Dead Sullivan,Imbecile,The New Afternoon Show,2022-05-17
157,Head,Dead Sullivan,Imbecile,The New Afternoon Show,2022-05-17
158,Optimistic,Radiohead,Kid A,The New Afternoon Show,2022-05-17
159,Little By Little,Radiohead,The King Of Limbs,The New Afternoon Show,2022-05-17
160,one sick plan,Oso Oso,basking in the glow,The New Afternoon Show,2022-05-17
161,reindeer games,Oso Oso,,The New Afternoon Show,2022-05-17
162,Levitation,Beach House,Depression Cherry,The New Afternoon Show,2022-05-17
163,Growth,Dollar Tree,Low Earth Connection,The New Afternoon Show,2022-05-17
164,Didn't Know What I Was In For,Better Oblivion Community Center,Better Oblivion Community Center,The New Afternoon Show,2022-05-17
165,Before,Punchlove,Terminal,The New Afternoon Show,2022-05-17
166,Casual Discussion In A Dome Between Two Temples,Algernon Cadwallader,Some Kind of Cadwallader,The New Afternoon Show,2022-05-17
167,Your Graduation,Modern Baseball,You're Gonna Miss It All,The New Afternoon Show,2022-05-17
168,The Good Times Are Here Again,Kissed By An Animal,Kissed By An Animal,The New Afternoon Show,2022-05-17
169,Yeah! New York,Yeah Yeah Yeahs,Fever To Tell (Deluxe Remastered),The New Afternoon Show,2022-05-17
170,Electricityscape,The Strokes,First Impressions of Earth,The New Afternoon Show,2022-05-17
171,Twentysomething,Straight White Teeth,Costilla,The New Afternoon Show,2022-05-17
172,Toe Cutter - Thumb Buster,Thee Oh Sees,Floating Coffin,The New Afternoon Show,2022-05-17
173,Let Down,Radiohead,OK Computer,The New Afternoon Show,2022-05-17
174,Faust Arp,Radiohead,In Rainbows,The New Afternoon Show,2022-05-17
175,Wake Up,Arcade Fire,Funeral,The New Afternoon Show,2022-05-17
176,Stay Right Here,"Saba, Xavier Omär, Mick Jenkins",Stay Right Here,The New Afternoon Show,2022-05-17
177,4 da Squaw,Isaiah Rashad,The Sun's Tirade,The New Afternoon Show,2022-05-17
178,Nagoya,It Looks Sad.,Kaiju,The New Afternoon Show,2022-05-17
179,Graduation (Friends Forever),Vitamin C,Vitamin C,The New Afternoon Show,2022-05-17
180,See You Again,Miley Cyrus,Meet Miley Cyrus,The New Afternoon Show,2022-05-17
181,"New York, I Love You but You're Bringing Me Down",LCD Soundsystem,Sound of Silver,The New Afternoon Show,2022-05-17
182,The Arc of Life,Post Moves,Unison of Motion,Content With Fractals,2022-05-17
183,The Mechanical Bull at Our Lady of the Valley,Old Saw,Country Tropics,Content With Fractals,2022-05-17
184,Mineral Springs,Danny Paul Grody,Sketch for Winter VI: Other States,Content With Fractals,2022-05-17
185,The Only Part of You That I Ever Really Needed,Ben Bondy,Ben Bondy,Content With Fractals,2022-05-17
186,Turn To Green,Coral Club,Turn To,Content With Fractals,2022-05-17
187,Thorns,Marcus Fischer / Simon Scott,Shape Memory,Content With Fractals,2022-05-17
188,Big Ben Banjo Band Sing Song,The Boats,Sleepy Insect Music,Content With Fractals,2022-05-17
189,Its not a folk its a knife,The Boats,Faulty Toned Radio,Content With Fractals,2022-05-17
190,They Gave Me This To Keep Me Quiet,The Boats,Our Small Ideas,Content With Fractals,2022-05-17
191,Lagoon,H. Takahashi,Paleozoic,Content With Fractals,2022-05-17
192,Shallows,H. Takahashi,Paleozoic,Content With Fractals,2022-05-17
193,Pink and Gold and Blue,You'll Never Get to Heaven,Wave Your Moonlight Hat For The Snowfall Train,Content With Fractals,2022-05-17
194,Pattern Waves,You'll Never Get to Heaven,Wave Your Moonlight Hat For The Snowfall Train,Content With Fractals,2022-05-17
195,Innerglow Portal/Aqua Drawer Lamp,Imaginary Softwoods,So Extra Bronze Lamp,Content With Fractals,2022-05-17
196,Remember Seeing It,Imaginary Softwoods,So Extra Bronze Lamp,Content With Fractals,2022-05-17
197,A (For Ruth),Josh Mason,Conduit,Content With Fractals,2022-05-17
198,B (For Amy),Josh Mason,Conduit,Content With Fractals,2022-05-17
199,Aphrodite,Ian William Craig / Daniel Lentz,FRKWYS Vol. 16: In a Word,Content With Fractals,2022-05-17
200,Up Up Up Stay,Ian William Craig / Daniel Lentz,FRKWYS Vol. 16: In a Word,Content With Fractals,2022-05-17
201,Poire,Ian William Craig / Daniel Lentz,FRKWYS Vol. 16: In a Word,Content With Fractals,2022-05-17
202,The Lemon of Pink I,The Books,The Lemon of Pink (Remastered),Content With Fractals,2022-05-17
203,Lie To Me,Trombone Shorty,Lifted,Uncommon Time ,2022-05-16
204,Lifted,Trombone Shorty,Lifted,Uncommon Time ,2022-05-16
205,Everybody in the World,"Trombone Shorty, New Breed Brass Band",Lifted,Uncommon Time ,2022-05-16
206,What It Takes,Trombone Shorty,Lifted,Uncommon Time ,2022-05-16
207,For Adults Only,Joris Teepe,For Adults Only,Uncommon Time ,2022-05-16
208,"Truckin' - Live at P.N.E. Coliseum, Vancouver, B.C. 6/22/73",Grateful Dead,Pacific Northwest '73-'74: Believe It If You Need It (Live),Uncommon Time ,2022-05-16
209,"Brown-Eyed Women - Live at Hec Edmundson Pavillion, University of Washington, Seattle, WA 5/21/74",Grateful Dead,Pacific Northwest '73-'74: Believe It If You Need It (Live),Uncommon Time ,2022-05-16
210,"Box of Rain - Live at Portland Memorial Coliseum, Portland, OR 6/24/73",Grateful Dead,Pacific Northwest '73-'74: Believe It If You Need It (Live),Uncommon Time ,2022-05-16
211,"Sugar Magnolia - Live in Paris, 1972; 2001 Remaster",Grateful Dead,Europe '72 (Live; 2001 Remaster),Uncommon Time ,2022-05-16
212,Come as You Are,Jean Carn,Jazz Is Dead 011,Uncommon Time ,2022-05-16
213,Ebun,"Adrian Younge, Tony Allen",Jazz Is Dead 011,Uncommon Time ,2022-05-16
214,Phoenix,"Adrian Younge, Ali Shaheed Muhammad, The Midnight Hour",Jazz Is Dead 011,Uncommon Time ,2022-05-16
215,Fancy Clown,"Madvillain, Viktor Vaughn",Madvillainy,Uncommon Time ,2022-05-16
216,Blue In Green,Anti Lilly & Phoniks,Stories From The Brass Section,Uncommon Time ,2022-05-16
217,Die Hard,"Kendrick Lamar, Blxst, Amanda Reifer",Mr. Morale & The Big Steppers,Uncommon Time ,2022-05-16
218,Purple Hearts,"Kendrick Lamar, Summer Walker, Ghostface Killah",Mr. Morale & The Big Steppers,Uncommon Time ,2022-05-16
219,Acechándote,Yaga & Mackie,,Bathtime Rave,2022-05-15
220,Déjale Caer To El Peso (feat. Yomo),"Héctor ""El Father,"" Yomo",,Bathtime Rave,2022-05-15
221,Me Porto Bonito,"Bad Bunny, Chencho Corleone",,Bathtime Rave,2022-05-15
222,Si Tú Me Calientas,Yaga & Mackie,,Bathtime Rave,2022-05-15
