,album,artist,plays
0,Los Secretos,Los Secretos,10
1,Sicodelicos,Los Destellos,6
2,Someone New,Helena Deland,6
3,Dishes are never done but good luck,Helvetia,5
4,From 2 to 3,Peach Pit,5
5,PAINLESS,Nilüfer Yanya,5
6,Blue Weekend,Wolf Alice,4
7,Bringing Home The Bait,Live Skull,4
8,Circles,LÉON,4
9,Cleaned Up Collectibles Volume 2,The Cleaners From Venus,4
10,Fever Tree,Fever Tree,4
11,Things Are Great,Band of Horses,4
12,Wild Loneliness,Superchunk,4
13,Yank Crime,Drive Like Jehu,4
14,angel in realtime.,Gang of Youths,4
15,Are You A Boy Or A Girl?,The Barbarians,3
16,Back To The Radio,Porridge Radio,3
17,Banguelê,Free-Son,3
18,Becoming Peter Ivers,Peter Ivers,3
19,Dragon New Warm Mountain I Believe In You,Big Thief,3
20,Faith/Void,Void,3
21,Human Crime,Pixies,3
22,I Need Some Money,Chicco,3
23,"Jam in the Van - Surfbort (Live Session, Los Angeles, CA, 2021)","Surfbort, Jam in the Van",3
24,"Nana, Nelson Angelo, Novelli",Naná Vasconcelos & Nelson Angelo & Novelli,3
25,PAINLESS,Nilufer Yanya,3
26,Romeo,Sega Bodega,3
27,Spasm Smash XXXOXoX Ox & Ass,Trumans Water,3
28,Stinge / Sink In,Hello Mary,3
29,The New Abnormal,The Strokes,3
30,The Unlistenable Years (Compilation),Toy Killers,3
31,Ukrainian Moods,"Levko Mykolayovych Revutsky, Violina Petrychenko",3
32,Unity,"Green Velvet, Carl Craig",3
33,We're New Again (A Reimagining by Makaya McCraven),"Gil Scott-Heron, Makaya McCraven",3
34,You'll Never Play This Town Again (Collection),Harry Pussy,3
35,caroline,caroline,3
36,...I Care Because You Do,Aphex Twin,2
37,11:11,Pinegrove,2
38,7 Inches of Hell,Harley Poe,2
39,96 Tears,? and The Mysterians,2
40,A Modern Life,Lo Moon,2
41,All The Truth That I Can Tell,Dashboard Confessional,2
42,Amy Locust Whatever,Cyberbully Mom Club,2
43,Anamaria E Maurício Vol. 2,Anamaria & Maurício,2
44,Aromatic,bohemianvoodoo,2
45,Arular,M.I.A.,2
46,Black Focus,Yussef Kamaal,2
47,Blue Suicide,Coma Cinema,2
48,Caja de Canciones,Radio Futura,2
49,Camino Del Sol,Antena,2
50,Campo de Vampiros,Los Holy's,2
51,Can't Stand The Midwest 1979-1981,Dow Jones and The Industrials,2
52,Circle City Cassette Works,Mark Tester,2
53,Circles,LEON,2
54,Classic Objects,Jenny Hval,2
55,Color & Monochrome 2,fox capture plan and bohemianvoodoo,2
56,Coming Now! (Way Down In The Motor City Underground),The Fondas,2
57,Corra O Risco,Olivia Byington,2
58,Cosmogramma,Flying Lotus,2
59,Covers of Covers,Water From Your Eyes,2
60,Crystal Nuns Cathedral,Guided by Voices,2
61,Delusion Spree,Eades,2
62,Die Kreuzen,Die Kreuzen,2
63,Dirty Water,The Standells,2
64,Distortions,The Litter,2
65,Duality,Luna Li,2
66,El Loco,Los Dug Dug's,2
67,El momento,Nacha Pop,2
68,Electrorock,Kill-A-Watts,2
69,Eyeline,LEYA,2
70,FACE TAT,Zach Hill,2
71,Feels Like You,Whirr,2
72,Figures,Aksak Maboul,2
73,Flying Microtonal Banana,King Gizzard & The Lizard Wizad,2
74,Free,Airto Moreira,2
75,Geek the Girl,Lisa Germano,2
76,Gemini,Letting Up Despite Great Faults,2
77,Gladness (2001-2006),Helvetia,2
78,Glitter,Pasteboard,2
79,Great American Painting,The Districts,2
80,Grow Up,Caroline Meade,2
81,Guilherme Lamounier,Guilherme Lamounier,2
82,Horse Jumper of Love,Horse Jumper of Love,2
83,Hot Sass,Liz Cooper,2
84,"I Know You Fine, But How You Doin'",The Gories,2
85,If Blue Could Be Happiness,Florist,2
86,Is That You In The Blue?,Dexter Romweber Duo,2
87,Ko and The Knockouts,Ko & The Knockouts,2
88,Kpm 1000 Series: Voices in Harmony,John Cameron,2
89,La cagaste... Burt Lancaster,Hombres G,2
90,Love on My Mind,BAMBARA,2
91,Maple,Wyatt Smith,2
92,Matilda,PUP,2
93,Metamorphosis,Cloud Cult,2
94,Moon Pix,Cat Power,2
95,Mrs Calamari,Alabaster DePlume,2
96,My Love,Florence + The Machine,2
97,Natural Machines,Dan Tepfer,2
98,No Shy Violet,Sons of Kong,2
99,"No, No, No B/w Nobody Sees Me Like You Do",Yoko Ono,2
