,title,artist,plays
0,Back To The Radio,Porridge Radio,3
1,Human Crime,Pixies,3
2,Unnecessary Drama,Belle and Sebastian,3
3,Bam Bam,Sister Nancy,2
4,Better Than That,Cyberbully Mom Club,2
5,Delicious Things,Wolf Alice,2
6,Disco Crimson,CQ,2
7,Ease,Whirr,2
8,Gemini,Letting Up Despite Great Faults,2
9,Good morning (red),caroline,2
10,Hey Like A Child,Kurt Vile,2
11,I Know A Place,Rita Marley,2
12,I'm Holding Back Your Hair,Eades,2
13,I'm Still In Love With You,Marcia Aitken,2
14,If Blue Could Be Happiness,Florist,2
15,If You're Ready (Come Go With Me),Cynthia Richards,2
16,Informer,Lady Ann,2
17,It's A Pity,Tanya Stephens,2
18,Life Time Warranty,Cyberbully Mom Club,2
19,Like Exploding Stones,Kurt Vile,2
20,Matilda,PUP,2
21,Mean,waveform*,2
22,Mid Practice,Helena Deland,2
23,My Love,Florence + The Machine,2
24,New York is Killing Me,"Gil Scott-Heron, Makaya McCraven",2
25,"No, No, No",Yoko Ono,2
26,Nobody Sees Me Like You Do,Yoko Ono,2
27,Nuff Respect,Lady G,2
28,Peter Bogdanovich,CMAT,2
29,Reality Breakdown,No Trend,2
30,Sink In,Hello Mary,2
31,Stinge,Hello Mary,2
32,Thanks For Coming,With Hidden Noise,2
33,To Talk About,The Weather Station,2
34,Trip To Japan,The Shacks,2
35,Wallflower,Moses Campbell,2
36,When I Meet You,Hollow Bastion,2
37,Wild Child,The Black Keys,2
38,Younger Than You,Whirr,2
39,(My Human) Extinction,Dead Finks,1
40,(There Is) No Logic,LoneLady,1
41,(ily Canada),Losing Lustre,1
42,(sheen),Terror at Space Camp,1
43,*⭑♡kiss n tell♡⭑*,ELFZ,1
44,"1,000 Deathnotes",The Microdance,1
45,100,Wyatt Smith,1
46,100 gecs - 800db cloud (Dvnots Remix),Dvnots,1
47,1000 Years,Nerve Quakes,1
48,104 Degrees,"Slaughter Beach, Dog",1
49,"12,000 Lines",Big Thief,1
50,1999,Hovvdy,1
51,1a10,Reuerorum ibn Malachtum,1
52,2 Stoned,Peg & the Rejected,1
53,20 Jazz Funk Greats,Throbbing Gristle,1
54,2001(Dois Mil E Um),Os Mutantes,1
55,2015,Peach Pit,1
56,24 Handkercheifs for Roger Trilling,Toy Killers,1
57,247 365,Naked Flames,1
58,"3 Preludes, Op. 4: No. 1 in D-Flat Major","Levko Mykolayovych Revutsky, Violina Petrychenko",1
59,"3 Preludes, Op. 4: No. 2 in F-Sharp Minor","Levko Mykolayovych Revutsky, Violina Petrychenko",1
60,"3 Preludes, Op. 4: No. 3 in C-Sharp Minor","Levko Mykolayovych Revutsky, Violina Petrychenko",1
61,300+13,sammy ]shiblaq,1
62,34 Blues,Charley Patton,1
63,4U,Pierre Bourne,1
64,8:05,Moby Grape,1
65,96 Tears,? and The Mysterians,1
66,A Day Without You,Osunlade,1
67,A Flower Of The Ground,Seventeen Years Old And Berlin Wall,1
68,A Fuss,Helvetia,1
69,A Guy Like You,Lisa Germano,1
70,A Night in Tunisia,Tony Crombie,1
71,A Place In The Sun,Marine Girls,1
72,A Quick One Before the Eternal Worm Devours Connecticut,Have A Nice Life,1
73,A Saudade Matta A Gente,Moacir Santos,1
74,A Tale Of 2 Citiez,J. Cole,1
75,A Woman,Qlowski,1
76,A la mierda la superyuta.,Päriä,1
77,A los Bosques,"Los Destellos, Enrique Delgado",1
78,A.G. Cook - Flesh Without Musk,👀,1
79,AHHH HA,Lil Durk,1
80,ALL I WANNA DO IS (TAKE YOUR $$$),Human Part,1
81,ANIME IS A LIFE STYLE,2232,1
82,ANOTHER,$hvn,1
83,ATM Hacking,BandmanKevo,1
84,Abandonment of Chastity,Abhorer,1
85,Acceleration,fox capture plan and bohemianvoodoo,1
86,Action Woman,The Litter,1
87,Addicted Child,Chloroform,1
88,Adhesive,Bardo Pond,1
89,Adience,Dead Machine,1
90,Adore You - Valentine Demo,Snail Mail,1
91,Adria Blue,bohemianvoodoo,1
92,After Spring,Riverays,1
93,Afterlife,Space Cowboy / OOHYO,1
94,Aftermath,Band of Horses,1
95,Afterparty,"Örvar Smárason, Sin Fang, Sóley",1
96,Again,Wande Coal,1
97,Against The Grain,Unsane,1
98,Ahead of Myself,moodlighting,1
99,Ain't No Half Steppin',Heatwave,1
