,artist,plays
0,Pixies,4
1,Alex G,4
2,Wyatt Smith,3
3,Porridge Radio,3
4,Oneohtrix Point Never,3
5,Kurt Vile,3
6,Hello Mary,3
7,Big Thief,3
8,Belle and Sebastian,3
9,waveform*,2
