,album,artist,plays
0,Los Secretos,Los Secretos,10
1,Sicodelicos,Los Destellos,6
2,Someone New,Helena Deland,6
3,Dishes are never done but good luck,Helvetia,5
4,Blue Weekend,Wolf Alice,4
5,Bringing Home The Bait,Live Skull,4
6,Circles,LÉON,4
7,Cleaned Up Collectibles Volume 2,The Cleaners From Venus,4
8,Fever Tree,Fever Tree,4
9,PAINLESS,Nilüfer Yanya,4
