,title,artist,plays
0,Back To The Radio,Porridge Radio,3
1,Human Crime,Pixies,3
2,Unnecessary Drama,Belle and Sebastian,3
3,Bam Bam,Sister Nancy,2
4,Better Than That,Cyberbully Mom Club,2
5,Delicious Things,Wolf Alice,2
6,Disco Crimson,CQ,2
7,Ease,Whirr,2
8,Gemini,Letting Up Despite Great Faults,2
9,Good morning (red),caroline,2
